source_kind,type,name,region,province,municipality,code,status,url,last_updated,enac_office,dossier,latitude,longitude,coordinates_text,public_detail_available,notes
eli,helipad,Elisuperficie Corpo Forestale Buccheri,Sicilia-Orientale,SIRACUSA,BUCCHERI,EC19,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/sicilia/elisuperficie-corpo-forestale-buccheri_EC19,08/04/2025,Sicilia Orientale,5.1.8.2_2025_579,37.13055556,14.84611111,"37°7'50""N - 14°50'46""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,ENIMED,SICILIA,CALTANISSETTA,GELA,EA96,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/sicilia/enimed_EA96,09/03/2026,Sicilia Occidentale,5.1.8.2_2024_365,37.13268333,14.29941667,"37°7'57.66""N - 14°17'57.90""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,ETNA GOLF - CASTIGLIONE DI SICILIA (CT),Sicilia-Orientale,CATANIA,CASTIGLIONE DI SICILIA,EC13,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/sicilia/etna-golf-castiglione-di-sicilia-ct-_EC13,30/04/2025,Sicilia Orientale,5.1.8.2_2024_565,37.85656944,15.10680833,"37°51'23,65""N - 15°6'24,51""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,ETNA TAORMINA,SICILIA,CATANIA,FIUMEFREDDO DI SICILIA,EA82,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/sicilia/etna-taormina_EA82,24/05/2024,Sicilia Orientale,5.1.8.2_2024_489,37.77827778,15.19194444,"37°46'41,80""N - 15°11'31,00""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,GIARDINI NAXOS,SICILIA,MESSINA,GIARDINI NAXOS,EA38,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/sicilia/giardini-naxos_EA38,02/09/2024,Sicilia Orientale,5.1.8.2_2024_355,37.80986111,15.25847222,"37°48'35,50""N - 15°15'30,50""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,GIORGIO LA PIRA,SICILIA,RAGUSA,POZZALLO,EA84,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/sicilia/giorgio-la-pira_EA84,16/10/2025,Sicilia Orientale,5.1.8.2_2024_493,36.71852778,14.82694444,"36°43'6,7""N - 14°49'37""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,ELISUPERFICIE PORTO TURISTICO MARINA DI RAGUSA,Sicilia,RAGUSA,RAGUSA,EA98,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/sicilia/elisuperficie-porto-turistico-marina-di-ragusa_EA98,06/08/2025,Sicilia Orientale,5.1.8.2_2024_495,36.77857222,14.54581111,"36°46'42,86""N - 14°32'44,92""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,VERDURA RESORT,SICILIA,AGRIGENTO,SCIACCA,EA97,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/sicilia/verdura-resort_EA97,16/10/2025,Sicilia Occidentale,5.1.8.2_2024_517,37.48056111,13.20134722,"37°28'50.02""N - 13°12'4.85""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,ELIXIR,SICILIA,CALTANISSETTA,CALTANISSETTA,EA32,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/sicilia/elixir_EA32,05/01/2026,Campania,5.1.8.2_2026_672,37.52758333,14.04986111,"37°31'39,3""N - 14°2'59,5""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,Bargino,Toscana,Firenze,San Casciano Val di Pesa,EB40,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/toscana/bargino_EB40,19/03/2026,Toscana,5.1.8.2_2025_640,43.61429722,11.194175,"43°36'51,47""N - 11°11'39,03""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,Elisperficie Suvereto,Toscana,Livorno,Suvereto,EA35,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/toscana/elisperficie-suvereto_EA35,06/05/2026,Toscana,5.1.8.2_2026_682,43.06154722,10.68099722,"43°3'41,57""N - 10°40'51,59""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,HOTEL VILLA OLMI FIRENZE,TOSCANA,FIRENZE,BAGNO A RIPOLI,EC46,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/toscana/hotel-villa-olmi-firenze_EC46,26/09/2025,Toscana,5.1.8.2_2025_632,43.75557222,11.31220833,"43°45'20,06""N - 11°18'43,95""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,BENETTI VIAREGGIO,Toscana,LUCCA,VIAREGGIO,EB76,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/toscana/benetti-viareggio_EB76,16/12/2024,Toscana,5.1.8.2_2024_496,43.86302778,10.24488889,"43°51'46,9""N - 10°14'41,6""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
eli,helipad,OVERMARINE MANGUSTA VIAREGGIO,Toscana,Lucca,Viareggio,EC11,Elisuperficie attiva. Dati Pubblicati,https://webaai.it/it/elisuperfici-enac/toscana/overmarine-mangusta-viareggio_EC11,20/01/2025,Toscana,5.1.8.2_2024_571,43.86244444,10.25527778,"43°51'44,80""N - 10°15'19,00""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
